place,case,county,state
"Loudoun County, VA",4,Loudoun County, VA
"Gregg County, TX",1,Gregg County, TX
"Philadelphia, PA",6,Philadelphia, PA
"Burlington County, NJ",1,Burlington County, NJ
"Anoka County, MN",3,Anoka County, MN
"Multnomah County, OR",2,Multnomah County, OR
"Sullivan, TN",1,Sullivan, TN
"Kane County, IL",3,Kane County, IL
"McHenry County, IL",2,McHenry County, IL
"Orleans Parish, LA",22,Orleans Parish, LA
"Suffolk, MA",6,Suffolk, MA
"Norfolk, MA",5,Norfolk, MA
"Berkshire, MA",3,Berkshire, MA
"Essex, MA",5,Essex, MA
"Skagit, WA",4,Skagit, WA
"Dallas County, TX",9,Dallas County, TX
"Pennington County, SD",1,Pennington County, SD
"Beadle County, SD",1,Beadle County, SD
"Charles Mix County, SD",1,Charles Mix County, SD
"Davison County, SD",1,Davison County, SD
"Minnehaha County, SD",4,Minnehaha County, SD
"Tarrant County, TX",6,Tarrant County, TX
"Whatcom, WA",4,Whatcom, WA
"Jefferson County, CO",7,Jefferson County, CO
"Oakland County, MI",8,Oakland County, MI
"Wayne County, MI",7,Wayne County, MI
"Montgomery County, TX",4,Montgomery County, TX
"Calaveras County, CA",1,Calaveras County, CA
"Alachua County, FL",6,Alachua County, FL
"Bucks County, PA",5,Bucks County, PA
"Nassau County, FL",1,Nassau County, FL
"Collier County, FL",4,Collier County, FL
"Pinellas County, FL",1,Pinellas County, FL
"Pasco County, FL",2,Pasco County, FL
"Oak Harbor, WA",1,Oak Harbor, WA
"San Jose, CA",2,San Jose, CA
"Charlton County, GA",1,Charlton County, GA
"Johnson County, IN",2,Johnson County, IN
"Howard County, IN",2,Howard County, IN
"Socorro County, NM",1,Socorro County, NM
"Bernalillo County, NM",7,Bernalillo County, NM
"Middlesex County, NJ",1,Middlesex County, NJ
"Olmsted County, MN",3,Olmsted County, MN
"Aspen County, CO",2,Aspen County, CO
"Stark County, OH",3,Stark County, OH
"Stanislaus County, CA",3,Stanislaus County, CA
"Gunnison County, CO",5,Gunnison County, CO
"Monmouth County, NJ",4,Monmouth County, NJ
"Thurston, WA",3,Thurston, WA
"New Castle, DE",5,New Castle, DE
"Polk, OR",1,Polk, OR
"Deschutes County, OR",4,Deschutes County, OR
"Williamson, TN",2,Williamson, TN
"Lake County, IL",5,Lake County, IL
"Pitkin County, CO",2,Pitkin County, CO
"Summit County, UT",5,Summit County, UT
"Lancaster County, SC",2,Lancaster County, SC
"Fond du Lac County, WI",3,Fond du Lac County, WI
"Waukesha County, WI",3,Waukesha County, WI
"Bon Homme County, SD",1,Bon Homme County, SD
"Chittenden, VT",3,Chittenden, VT
"Baltimore County, MD",5,Baltimore County, MD
"Lowndes County, GA",4,Lowndes County, GA
"Forrest county, MS",3,Forrest county, MS
"Durham County, NC",1,Durham County, NC
"Santa Fe County, NM",3,Santa Fe County, NM
"Caddo Parish, LA",3,Caddo Parish, LA
"Bartow County, GA",5,Bartow County, GA
"Sheridan County, WY",2,Sheridan County, WY
"Ward County, ND",1,Ward County, ND
"Linn, OR",5,Linn, OR
"Monroe County, NY",1,Monroe County, NY
"Prince Edward County, VA",1,Prince Edward County, VA
"Tulare County, CA",3,Tulare County, CA
"Alexandria, VA",2,Alexandria, VA
"Trumbull County, OH",2,Trumbull County, OH
"Forsyth County, NC",1,Forsyth County, NC
"Johnston County, NC",2,Johnston County, NC
"Northampton County, PA",1,Northampton County, PA
"Albany County, NY",8,Albany County, NY
"Mecklenburg County, NC",4,Mecklenburg County, NC
"James City County, VA",6,James City County, VA
"Stamford County, CT",1,Stamford County, CT
"Androscoggin, ME",1,Androscoggin, ME
"Orange County, NY",5,Orange County, NY
"Imperial County, CA",1,Imperial County, CA
"Dakota County , MN",1,Dakota County , MN
"Bergen, NJ",8,Bergen, NJ
"Pike County, PA",1,Pike County, PA
"Seminole County, FL",1,Seminole County, FL
"Essex, NJ",6,Essex, NJ
"Morris County, NJ",1,Morris County, NJ
"Somerset County, NJ",3,Somerset County, NJ
"Adams County, CO",3,Adams County, CO
"Davidson, TN",1,Davidson, TN
"Jackson County, OK",1,Jackson County, OK
"Delaware County, NY",1,Delaware County, NY
"Dutchess County, NY",6,Dutchess County, NY
"Herkimer County, NY",1,Herkimer County, NY
"Knox, TN",1,Knox, TN
"Shelby, TN",1,Shelby, TN
"Stratford County, CT",1,Stratford County, CT
"Hancock County, IN",1,Hancock County, IN
"Dane County, WI",5,Dane County, WI
"Cabarrus County, NC",1,Cabarrus County, NC
"Stearns County, MN",2,Stearns County, MN
"Hennepin County, MN",6,Hennepin County, MN
"Jefferson parish, LA",2,Jefferson parish, LA
"Clackamas, OR",1,Clackamas, OR
"Greene County, MO",3,Greene County, MO
"Carroll County, IA",1,Carroll County, IA
"Collin County, TX",2,Collin County, TX
"Onslow County, NC",1,Onslow County, NC
"Harrisonburg County, VA",1,Harrisonburg County, VA
"Wyandotte County, KS",2,Wyandotte County, KS
"Old Bridge, NJ",2,Old Bridge, NJ
"Island, WA",3,Island, WA
"Anchorage, AK",1,Anchorage, AK
"Ingham County, MI",2,Ingham County, MI
"Kent County, MI",2,Kent County, MI
"Montcalm County, MI",1,Montcalm County, MI
"Washtenaw County, MI",4,Washtenaw County, MI
"San Joaquin County, CA",2,San Joaquin County, CA
"Sarasota County, FL",4,Sarasota County, FL
"Duval County, FL",4,Duval County, FL
"Clay County, FL",4,Clay County, FL
"Cass County, NE",1,Cass County, NE
"Gordon County, GA",1,Gordon County, GA
"Palm Beach County, FL",7,Palm Beach County, FL
"Coweta County, GA",3,Coweta County, GA
"Manhattan Beach, CA",1,Manhattan Beach, CA
"Travis County, TX",3,Travis County, TX
"Terrebonne Parish, LA",3,Terrebonne Parish, LA
"Lincoln County, ME",2,Lincoln County, ME
"Knox, ME",1,Knox, ME
"Montgomery County, AL",2,Montgomery County, AL
"Bexar County, TX",3,Bexar County, TX
"Smith County, TX",2,Smith County, TX
"Butler County, KS",1,Butler County, KS
"Waldorf, MD",1,Waldorf, MD
"Hudson County, NJ",7,Hudson County, NJ
"Anne Arundel County, MD",2,Anne Arundel County, MD
"Belmont County, OH",1,Belmont County, OH
"McCook County, SD",1,McCook County, SD
"Wright County, MN",1,Wright County, MN
"Chester County, PA",6,Chester County, PA
"Middlesex, NJ",4,Middlesex, NJ
"Fairfield County, CT",8,Fairfield County, CT
"Hamilton County, TN",1,Hamilton County, TN
"Jefferson County, TN",1,Jefferson County, TN
"Rutherford County, TN",1,Rutherford County, TN
"Carroll County, MD",2,Carroll County, MD
"Ocean County, NJ",4,Ocean County, NJ
"Mercer, NJ",3,Mercer, NJ
"Weld County, CO",3,Weld County, CO
"Burlington, NJ",3,Burlington, NJ
"Morris, NJ",4,Morris, NJ
"Pueblo County, CO",1,Pueblo County, CO
"Jersey, NJ",2,Jersey, NJ
"Passaic, NJ",4,Passaic, NJ
"Clark, NV",10,Clark, NV
"Routt County, CO",1,Routt County, CO
"Leflore County, MS",2,Leflore County, MS
"Litchfield County, CT",3,Litchfield County, CT
"Washington County, PA",2,Washington County, PA
"Cumberland County, PA",3,Cumberland County, PA
"Columbia, WA",1,Columbia, WA
"Milwaukee County, WI",5,Milwaukee County, WI
"Racine County, WI",1,Racine County, WI
"Sheboygan County, WI",1,Sheboygan County, WI
"Yakima, WA",1,Yakima, WA
"Camden County, SC",1,Camden County, SC
"Butler County, OH",3,Butler County, OH
"Unassigned, WA",3,Unassigned, WA
"Summit County, OH",3,Summit County, OH
"Schenectady County, NY",4,Schenectady County, NY
"Ada, ID",2,Ada, ID
"Broome County, NY",1,Broome County, NY
"Montgomery, KY",2,Montgomery, KY
"Harrison County, IA",1,Harrison County, IA
"Jefferson County, AL",5,Jefferson County, AL
"Elmore County, AL",2,Elmore County, AL
"Salt Lake County, UT",5,Salt Lake County, UT
"Wayne County, NC",1,Wayne County, NC
"Henry County, MO",1,Henry County, MO
"Prince William County, VA",3,Prince William County, VA
"Pearl River County, MS",2,Pearl River County, MS
"Santa Clarita, CA",1,Santa Clarita, CA
"Lavaca County, TX",1,Lavaca County, TX
"Harnett County, NC",3,Harnett County, NC
"Gallatin, MT",1,Gallatin, MT
"Yellowstone, MT",2,Yellowstone, MT
"Silver Bow, MT",1,Silver Bow, MT
"Broadwater, MT",1,Broadwater, MT
"Tuscaloosa County, AL",3,Tuscaloosa County, AL
"Limestone County, AL",1,Limestone County, AL
"Bay County, MI",1,Bay County, MI
"Charlevoix County, MI",1,Charlevoix County, MI
"Macomb County, MI",4,Macomb County, MI
"El Paso, TX",3,El Paso, TX
"Hartford County, CT",4,Hartford County, CT
"Copiah County, MS",2,Copiah County, MS
"Oklahoma County, OK",2,Oklahoma County, OK
"Fremont County, WY",2,Fremont County, WY
"Bell County, TX",2,Bell County, TX
"Kauai County, HI",1,Kauai County, HI
"Graham, AZ",1,Graham, AZ
"Campbell, TN",1,Campbell, TN
"Galveston County, TX",2,Galveston County, TX
"Jefferson County, KY",5,Jefferson County, KY
"Henry County, GA",2,Henry County, GA
"Orange County, FL",4,Orange County, FL
"Osceola County, FL",3,Osceola County, FL
"Brunswick County, NC",1,Brunswick County, NC
"Chesterfield County, VA",3,Chesterfield County, VA
"Davidson County, TN",6,Davidson County, TN
"Wells County, IN",1,Wells County, IN
"LaPorte County, IN",1,LaPorte County, IN
"Franklin County, OH",3,Franklin County, OH
"Tompkins County, NY",2,Tompkins County, NY
"Bossier Parish, LA",1,Bossier Parish, LA
"Mesa County, CO",1,Mesa County, CO
"Craven County, NC",1,Craven County, NC
"Sterns County, MN",1,Sterns County, MN
"Allegheny County, PA",6,Allegheny County, PA
"Windsor, VT",2,Windsor, VT
"Washington, VT",1,Washington, VT
"Springfield, VT",1,Springfield, VT
"Tioga County, NY",1,Tioga County, NY
"Spokane County,  WA",1,Spokane County,  WA
"Pine Pluff, AR",1,Pine Pluff, AR
"Barnstable, MA",1,Barnstable, MA
"Dakota County, MN",3,Dakota County, MN
"Renville County, MN",1,Renville County, MN
"Lorain County, OH",4,Lorain County, OH
"DuPage County, IL",2,DuPage County, IL
"Woodford County, IL",1,Woodford County, IL
"Cumberland County, IL",1,Cumberland County, IL
"Alvin County, TX",1,Alvin County, TX
"Bristol, MA",2,Bristol, MA
"Winnebago County, WI",2,Winnebago County, WI
"Hays County, TX",1,Hays County, TX
"Franklin County, KS",1,Franklin County, KS
"Beaufort County, SC",1,Beaufort County, SC
"Blaine, ID",1,Blaine, ID
"Lexington County, SC",3,Lexington County, SC
"Nelson County, KY",1,Nelson County, KY
"New Haven County, CT",3,New Haven County, CT
"Dougherty County, GA",1,Dougherty County, GA
"Sandoval County, NM",2,Sandoval County, NM
" Bernalillo County, NM",1, Bernalillo County, NM
"Harford County, MD",1,Harford County, MD
"Erie County, NY",5,Erie County, NY
"Teton County, ID",1,Teton County, ID
"Missoula, MT",2,Missoula, MT
"Dallas County, IA",2,Dallas County, IA
"Monroe County, MI",1,Monroe County, MI
"Baldwin, AL",1,Baldwin, AL
"Sangamon  County, IL",2,Sangamon  County, IL
"Baltimore City, MD",2,Baltimore City, MD
"South central area, ID",1,South central area, ID
"San Luis Obispo County, CA",3,San Luis Obispo County, CA
"Cumberland County, ME",7,Cumberland County, ME
"Hunterdon County, NJ",2,Hunterdon County, NJ
"Lacks County, OH",1,Lacks County, OH
"Honolulu County, HI",2,Honolulu County, HI
"Clarke County, GA",2,Clarke County, GA
"Maui County, HI",1,Maui County, HI
"Tuscarawas County, OH",1,Tuscarawas County, OH
"Matagorda County, TX",2,Matagorda County, TX
"Boulder County, CO",4,Boulder County, CO
"Caddy Parish, LA",1,Caddy Parish, LA
"Westfield, NJ",1,Westfield, NJ
"Garwood, NJ",1,Garwood, NJ
"Citrus County, FL",2,Citrus County, FL
"Hamilton County, IN",1,Hamilton County, IN
"Watauga, NC",1,Watauga, NC
"Baker County, FL",1,Baker County, FL
"Clayton County, GA",2,Clayton County, GA
"Newton County, GA",1,Newton County, GA
"Cleveland County, OK",2,Cleveland County, OK
"Payne County, OK",1,Payne County, OK
"Lehigh , PA",1,Lehigh , PA
"Luzerne , PA",1,Luzerne , PA
"Hinds County, MS",2,Hinds County, MS
"Hillsborough County, NH",1,Hillsborough County, NH
"Myrtle Beach, SC",1,Myrtle Beach, SC
"Wilson, NC",1,Wilson, NC
"Medina County, OH",3,Medina County, OH
"Washington County, MN",2,Washington County, MN
"Waseca County, MN",1,Waseca County, MN
"Monmouth, NJ",3,Monmouth, NJ
"Union, NJ",3,Union, NJ
"Southwest Utah, UT",1,Southwest Utah, UT
"Howard, MD",2,Howard, MD
"New Castle County, DE",1,New Castle County, DE
"Champaign County, IL",1,Champaign County, IL
"Plymouth, MA",2,Plymouth, MA
"Garfield County, CO",1,Garfield County, CO
"Hampden, MA",1,Hampden, MA
"Clark County, KY",1,Clark County, KY
"Horry County, SC",2,Horry County, SC
"Greenville County, SC",1,Greenville County, SC
"Putnam County, NY",1,Putnam County, NY
"San Bernardino County, CA",2,San Bernardino County, CA
"Greene County, NY",1,Greene County, NY
"Montgomery County, NY",1,Montgomery County, NY
"Falmouth, ME",1,Falmouth, ME
"Clear Creek County, CO",1,Clear Creek County, CO
"Santa Barbara, CA",1,Santa Barbara, CA
"Lincoln, WA",1,Lincoln, WA
"Talbot County, MD",1,Talbot County, MD
"Yamhill County, OR",1,Yamhill County, OR
"Denton County, TX",1,Denton County, TX
"Shelby, AL",3,Shelby, AL
"Lee, AL",1,Lee, AL
"Troup County, GA",1,Troup County, GA
"Forsyth County, GA",1,Forsyth County, GA
"Wood, WI",1,Wood, WI
"Allamakee County, IA",1,Allamakee County, IA
"Polk County, IA",1,Polk County, IA
"Allegany, NY",1,Allegany, NY
"Floyd County, IN",1,Floyd County, IN
"Ottawa County, MI",1,Ottawa County, MI
"Marion county, IN",1,Marion county, IN
"Cowlitz County, WA",1,Cowlitz County, WA
"Grant, WA",1,Grant, WA
"San Diego, County, CA",1,San Diego County, CA
"Hall County, GA",1,Hall County, GA
"Paulding County, GA",1,Paulding County, GA
"Hancock County, MS",1,Hancock County, MS
"Winnebago County, IL",1,Winnebago County, IL
"Whiteside County, IL",1,Whiteside County, IL
"Clinton County, IL",1,Clinton County, IL
"Sangamon County, IL",2,Sangamon County, IL
"Kay County, OK",2,Kay County, OK
"Bourbon County, KY",1,Bourbon County, KY
"Charlottesville City, VA",1,Charlottesville City, VA
"Hendricks County, IN",1,Hendricks County, IN
"Bartholomew County, IN",1,Bartholomew County, IN
"Onondaga County, NY",2,Onondaga County, NY
"Lafourche Parish, LA",1,Lafourche Parish, LA
"Geauga County, OH",1,Geauga County, OH
"Stafford County, VA",1,Stafford County, VA
"Canadian County, OK",1,Canadian County, OK
"Monroe County, PA",1,Monroe County, PA
"Ontario County, NY",1,Ontario County, NY
"Monroe, MS",1,Monroe, MS
"Pearl River, MS",1,Pearl River, MS
"Marion, IN",1,Marion, IN
"Outagamie, WI",1,Outagamie, WI
"Willianson County, TN",2,Willianson County, TN
"Sevier County, TN",1,Sevier County, TN
"Tooele, UT",1,Tooele, UT
"Wasatch County, UT",2,Wasatch County, UT
"Frederick, MD",1,Frederick, MD
"Gloucester County, NJ",1,Gloucester County, NJ
"Blue earth County, MN",1,Blue earth County, MN
"Benton County, MN",1,Benton County, MN
"Will County, IL",1,Will County, IL
"Hay County, TX",2,Hay County, TX
"Lowell, MA",1,Lowell, MA
"Carroll County, NH",1,Carroll County, NH
"Bowie County, TX",1,Bowie County, TX
"Orange County, VT",1,Orange County, VT
"York County, VA",1,York County, VA
"Henrico County, VA",2,Henrico County, VA
"Nevada county, CA",1,Nevada county, CA
"Kenosha County , WI",1,Kenosha County , WI
"Ascension Parish, LA",1,Ascension Parish, LA
"Lewis, WA",1,Lewis, WA
"Iredell County, NC",1,Iredell County, NC
"Marion County, OR",1,Marion County, OR
"Lake County, FL",1,Lake County, FL
"Hoboken, NJ",1,Hoboken, NJ
"Clinton County, NY",1,Clinton County, NY
"Beaver County, PA",1,Beaver County, PA
"Maui, HI",1,Maui, HI
"Peoria County, IL",1,Peoria County, IL
"Sampson County, NC",1,Sampson County, NC
"Grand Traverse County, MI",1,Grand Traverse County, MI
"Otsego County, MI",1,Otsego County, MI
"Augusta County, GA",1,Augusta County, GA
"Fairbanks North Star, AK",1,Fairbanks North Star, AK
"Cass County, MO",1,Cass County, MO
"Rusk County, TX",1,Rusk County, TX
"Spalding County, GA",1,Spalding County, GA
"Franklin County, IN",1,Franklin County, IN
"Lake County, IN",1,Lake County, IN
"Madison, AL",1,Madison, AL
"Harrison County, MS",1,Harrison County, MS
"Jackson County, MS",1,Jackson County, MS
"Essex, NY",1,Essex, NY
"Oneida, NY",1,Oneida, NY
"Ford County, KS",1,Ford County, KS
"Williamsburg, VA",1,Williamsburg, VA
"Pawnee County, OK",1,Pawnee County, OK
"Goochland, VA",1,Goochland, VA
"Sullivan, NY",1,Sullivan, NY
"Richmond County, GA",1,Richmond County, GA
"Guilford County , NC",1,Guilford County , NC
"Lake County, OH",1,Lake County, OH
"Mecklenburg county, NC",1,Mecklenburg county, NC
"Coshocton County, OH",1,Coshocton County, OH
"Mahoning County, OH",1,Mahoning County, OH
"Navajo County, AZ",1,Navajo County, AZ
"Darke County, OH",1,Darke County, OH
"Bear River,  UT",1,Bear River,  UT
"Knox County, TN",1,Knox County, TN
