id,case,county,state,lat,lon
464,1,Denton County, TX,33.207,-97.116
435,2,Hinds County, MS,32.312,-90.4
524,1,Lake County, FL,28.812,-81.65
528,1,Maui, HI,20.91,-156.32
418,1,Maui County, HI,20.91,-156.32
69,4,Honolulu, HI,21.38,-157.92
416,2,Honolulu County, HI,21.38,-157.92
356,1,Kauai County, HI,22.14,-159.31
1111,40,Miami,FL,25.7,-80.233
182,4,Collier County, FL,26.14,-81.79
73,48,Broward County, FL,26.15,-80.448
74,5,Lee County, FL,26.62,-81.84
279,13,Palm Beach County, FL,26.74,-80.12
85,1,Charlotte County, FL,26.89,-82.05
274,4,Sarasota County, FL,26.95,-82.35
96,5,Manatee County, FL,27.48,-82.57
183,1,Pinellas County, FL,27.75,-82.64
22,8,Hillsborough County, FL,27.76,-82.26
363,3,Osceola County, FL,28.26,-81.5
184,2,Pasco County, FL,28.36,-82.19
362,4,Orange County, FL,28.5,-81.26
240,1,Seminole County, FL,28.744,-81.2233
425,2,Citrus County, FL,28.9,-82.59
420,2,Matagorda County, TX,28.97,-95.96
94,7,Volusia County, FL,29.0235,-81.1721
389,1,Alvin County, TX,29.28,-95.32
287,3,Bexar County, TX,29.28,-98.73
359,2,Galveston County, TX,29.38,-95.09
283,3,Terrebonne Parish, LA,29.3827,-90.8654
11,3,San Antonio, TX,29.39,-98.508
339,1,Lavaca County, TX,29.44,-96.94
492,2,Lafourche Parish, LA,29.459,-90.502
35,4,Fort Bend County, TX,29.58,-95.76
130,31,Jefferson Parish, LA,29.664,-90.09
179,6,Alachua County, FL,29.68,-82.3538
44,11,Harris County, TX,29.76,-95.38
276,4,Clay County, FL,29.95,-81.815
160,116,Orleans Parish, LA,30.032,-89.8826
392,1,Hays County, TX,30.08,-97.83
520,1,Ascension Parish, LA,30.204,-90.86962
481,1,Hancock County, MS,30.32,-89.51
177,4,Montgomery County, TX,30.32,-95.47
282,3,Travis County, TX,30.32,-97.77
275,10,Duval County, FL,30.345,-81.683
428,1,Baker County, FL,30.36,-82.2543
541,1,Harrison County, MS,30.38,-89.06
542,1,Jackson County, MS,30.48,-88.55
181,1,Nassau County, FL,30.552,-81.69
40,1,Santa Rosa County, FL,30.6597,-87.04
92,2,Okaloosa County, FL,30.66,-86.59
337,3,Pearl River County, MS,30.7368,-89.5964
187,1,Charlton County, GA,30.83,-82
213,4,Lowndes County, GA,30.84,-83.252
408,1,Baldwin, AL,30.88,-87.77
355,2,Bell County, TX,31.09,-97.36
214,3,Forrest county, MS,31.31,-89.3
429,2,Clayton County, GA,31.55,-84.86
399,1,Dougherty County, GA,31.57,-84.17
352,2,Copiah County, MS,31.86,-90.422
350,3,El Paso, TX,31.99,-106.59
